2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Liquid_fuels;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Gas_fuels;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Solid_fuels;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Elec_heating;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Steel_Iron;0.0670297;0.0845413;0.5438768;0.0116495;1.6760285;0.2728876;0.3160698;0.0596422;0.3991442;1.4585425;0.0904321;2.1477581;1.2249225;1.0417245;0.6462853;0.7586245;1.4865771;0.6838255;0.8027516;1.1404506;0.8745445;22.117765;28.795853
NonFerrousMetals;0.1150693;0.1451313;0.933669;0.0199986;2.8772248;0.4684639;0.5425945;0.1023873;0.6852076;2.5038684;0.155244;3.6870392;2.1028148;1.7883202;1.1094729;1.3023247;2.5519951;1.1739177;1.3780774;1.9578025;1.5013235;37.969391;49.433612
Cement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
OthMin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Paper;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Auto_indus;59.17779364771263;80.03149148836867;1035.7685807613504;12.15293023841496;3191.858279148526;286.7645446586736;332.14266090858627;36.78214988409948;246.1574674327844;648.2161537571322;86.60558806856996;464.0808587442259;155.37141510475112;48.22534501741018;507.4948643352357;343.0434592136496;6622.88289373784;3046.5260376769365;3576.3566891993505;648.2161537571322;2044.9497419549195;68.86360957508846;23330.497296839105
OthEquip;79.59028091691222;125.15043412910389;1092.631324869934;18.383564152876986;3367.088366028199;432.7408575495058;501.21853446108;66.01131812482721;441.7680560214786;1031.2545097864656;147.83119616051135;527.2930323725913;299.3802408974119;113.80030745083494;976.9556235439206;629.3215152750854;1107.8244117388986;509.5992386553589;598.2251902232908;2608.0429979421583;1071.1302439262988;202.34816688408583;10630.439663791269
Electronics;23.63284093427705;58.79895021696313;148.89656710522;5.268010186729842;458.8445273176578;118.1503934598217;136.84671865172606;9.516672917431032;63.68850304088938;363.2634189470628;38.05051860043724;183.70356260557705;72.90615842883912;30.68607310761275;220.99676472463764;144.27180801245098;625.6970749151011;287.820661316847;337.8764135982541;70.44271682775623;240.33396921172377;17.9559873481237;9131.15791925201
Food_industry;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
