2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.106952782154238;0.134894323694055;0.867811772591369;0.0185879909850884;2.67427709512851;0.435420390932946;0.504322079168489;0.0951653581367008;0.636875858299459;2.32725571162019;0.144293704927685;3.42697055778673;1.95449082386421;1.6621793778783;1.03121518483231;1.2104640237033;2.3719877825392;1.09111437996803;1.28087340257117;1.81970713968334;1.39542631771338;35.2911850752579;45.9467665304056
NonFerrousMetals;0.160657782494861;0.202629819246567;1.30357258782107;0.0279217179071804;4.01713185226494;0.654061288087403;0.757561096312223;0.142951451104124;0.956675095850675;3.49585802628494;0.216748982071534;5.1477809122834;2.93591391774873;2.49682193936301;1.54902697744943;1.81828337628029;3.5630517464996;1.63900380338982;1.92404794310979;2.73345029426152;2.09612217020683;53.0122117592991;69.0183600174026
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_indus;56.9545610223438;77.0248123514925;996.856101192492;11.6963603941155;3071.94431183809;275.991169659374;319.664497605473;35.4002925453829;236.909650111409;623.863519420057;83.3519289558679;446.645937691034;149.53431312662;46.4135821184783;488.428944765357;330.155761745186;6374.06976885527;2932.07209367342;3441.99767518185;623.863519420057;1968.12371253533;66.2764939799599;22454.0006986058
OthEquip;75.4686698301885;118.66947539336;1036.04903982288;17.4315652689535;3192.72255129092;410.331226844013;475.262761641307;62.5928990101036;418.890939529155;977.850636164526;140.175706895335;499.986976862405;283.876723699223;107.907118186523;926.363642569685;596.731888930832;1050.455341976;483.209457308961;567.245884667041;2472.98466110222;1015.66139708574;191.869499568276;10079.9385746148
Electronics;25.1207703140004;62.5009463627702;158.271130324328;5.59968544579764;487.733483244357;125.589169646966;145.462620668025;10.1158449715642;67.698347117391;386.134575837645;40.4461891650797;195.26957637417;77.4963472296341;32.6180755377553;234.910768570431;153.355194905526;665.091113515032;305.941912216915;359.149201298117;74.8778074818247;255.465460820343;19.0864999463475;9706.05781771609
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;39.8019673151186;50.2002786138186;322.952008471788;6.91743211107191;995.219454678367;162.039619906816;187.681054265697;35.4153337369581;237.010310393489;866.077103391734;53.6982134698167;1275.33073365213;727.354429891842;618.57212068377;383.761808293673;450.468407994159;882.723930045469;406.053007820916;476.670922224553;677.195325244692;519.301242750171;13133.4460552091;17098.8698268858
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2501.84410112186;0;0;0
Construction;98.8137410232758;30.0278777939409;2104.9515958605;13.8099225409815;6486.68757091706;341.417102391846;395.443544968138;80.7469019465525;540.383113026928;977.191806996495;155.004743801599;360.018034156604;331.763565422699;98.1480797606449;1996.58353008461;1130.77394961484;3900.19537002987;1794.08987021374;2106.10549981613;3974.70459687913;3103.01258011168;199839.021399228;102813.594132651
Property_business;12.7239643033908;16.0481151106286;103.241877341639;2.21137710494464;318.153540379336;51.8011163394474;59.9982160678874;11.3216374128964;75.7678811478451;276.869081879645;17.1663411995787;407.700016472378;232.521968790762;197.746245062198;122.681663222175;144.006548664889;282.190769283433;129.807753870379;152.383015413054;216.487016247652;166.011152743945;4198.52359216207;5466.19737620303
Compo;351.90826382711;478.953111615542;639.324864897769;57.1768087790658;1970.16437958292;1323.01104695171;1532.36664119462;352.372173026129;2358.18300409794;10270.6183025624;401.654179783027;17988.0791919536;10272.9849809504;9168.12409507271;2218.48006245057;4673.18109376894;1500.24921325541;690.114638097487;810.134575157919;700.834254231957;1593.85946234313;593.141047316881;116256.639365249
