;2030;2050
Crude_oil;0.0068031509550472435;-0.013589322456433406
Liquid_fuels;0.0068031509550472435;-0.013589322456433406
Gas_fuels;0.0;0.0
Solid_fuels;0.0;0.0
Elec_heating;0.0;0.0
Steel_Iron;0.0;0.0
NonFerrousMetals;0.0;0.0
Cement;0.0;0.0
OthMinerals;0.0;0.0
ChemicalPharma;0.0;0.0
Paper;0.0;0.0
Auto_industry;0.0;0.0
OthEquip;0.0;0.0
Electronics;0.0;0.0
Food_industry;0.0026235305739068515;0.001564870070576152
OthManuf;0.0;0.0
LandTransp;0.008014097252069696;0.00623642747630293
NavalTransp;0.011596614145529704;0.005273173219553673
AirTransp;0.006580239924729447;0.000224786362013063
AgriForest_Fish;0.004883168528509785;0.004557845520627657
Construction;0.0;0.0
Property_business;-0.0012331253819819477;6.852023867098822e-05
Compo;-0.0009393248184811354;8.592807505714006e-05
