2040;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Liquid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gas_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Solid_fuels;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0.0670297;0.0845413;0.5438768;0.0116495;1.6760285;0.2728876;0.3160698;0.0596422;0.3991442;1.4585425;0.0904321;2.1477581;1.2249225;1.0417245;0.6462853;0.7586245;1.4865771;0.6838255;0.8027516;1.1404506;0.8745445;22.117765;28.795853
NonFerrousMetals;0.1150693;0.1451313;0.933669;0.0199986;2.8772248;0.4684639;0.5425945;0.1023873;0.6852076;2.5038684;0.155244;3.6870392;2.1028148;1.7883202;1.1094729;1.3023247;2.5519951;1.1739177;1.3780774;1.9578025;1.5013235;37.969391;49.433612
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_indus;50.7002266282324;68.566509593292;887.3886392524;10.411951499117;2734.60580638401;245.683836908282;284.561271094641;31.5128905632922;210.893962342854;555.355376971511;74.1988281700251;397.598546039514;133.113546007718;41.3167806857209;434.793239971613;293.900465924807;5674.11596389807;2610.09326333682;3064.02255760359;555.355376971511;1751.99866317536;58.9984924527521;19988.2663307916
OthEquip;63.1872519477949;99.3577597866128;867.447256313667;14.5948335204262;2673.15378792066;343.555837208701;397.920719125984;52.4068233169558;350.722589953634;818.719795702226;117.364167206416;418.621435971888;237.679959058376;90.3468189305569;775.611549745988;499.622525310187;879.509148755737;404.574215775615;474.934946587485;2070.54263539653;850.377405534352;160.645551878713;8439.57656152812
Electronics;18.762269175997;46.6808765947655;118.2099722661;4.18230823032208;364.27971378509;93.800381067514;108.64351765139;7.55534975390059;50.5627250144239;288.397237853548;30.2085591086184;145.843476871051;57.8806827682652;24.3618769829868;175.450797401771;114.538345346002;496.745058067231;228.502732153871;268.24232591336;55.9249401409864;190.802732309089;14.255377458986;7249.28683969851
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;28.2773845738146;35.6648841129805;229.441871471708;4.9145029735663;707.055576991756;115.121359583689;133.338366787722;25.1608917669657;168.384426167881;615.306141100506;38.1499993953666;906.061181034106;516.75035705989;439.465751311222;272.644321196545;320.036151169994;627.132911930903;288.481140848952;338.651771081952;481.114730136403;368.938575244766;9330.68202682782;12147.924989661
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1836.51809971731;0;0;0
Construction;57.0496553443939;17.3364557317954;1215.2840600678;7.97309487239523;3745.05908201011;197.11557962714;228.307497375808;46.6188494923124;311.987682431157;564.177169774226;89.4912709884763;207.854743294741;191.542154775418;56.6653391832492;1152.71825995718;652.847105443542;2251.75976290603;1035.80947777287;1215.95025880535;2294.77728745792;1791.51000427088;115376.134120058;59358.9525470729
Property_business;13.5535600605614;17.0944433816692;109.973188102912;2.35555765330748;338.896965730407;55.1785189177586;63.9100656345167;12.0598015828998;80.70790245638;294.920790165715;18.285577161148;434.281818893826;247.682265561156;210.639190836145;130.680436143365;153.395698351998;300.58944884513;138.271149095735;162.318299749395;230.601841034717;176.834979989234;4472.26490671436;5822.59025451751
Compo;410.327242859924;558.46233065075;745.456797223718;66.6685174113108;2297.22395281901;1542.63913784171;1786.74913691788;410.86816340346;2749.65613712693;11975.6051763886;468.331284181728;20974.2131212004;11978.3648142449;10690.0900746911;2586.76158401233;5448.95840616339;1749.30002371096;804.677995145186;944.621989161136;817.177131862897;1858.45007134234;691.606175061579;135555.972801307
