CarbonTax_Diff_C;HH1
Crude_oil;-0.03
Natural_gas;-0.03
Coking_coal;-0.03
Bituminous_coal;-0.03
Coke;-0.03
Other_coal;-0.03
Gasoline;-0.39
LPG;-0.03
Jetfuel;-0.03
Fuel;-0.03
Fuel_oil;-0.39
Heavy_fuel_oil;-0.03
Other_fuel_prod;-0.03
Electricity;-0.03
HeatGeoSol_Th;-0.03
Steel_Iron;%nan
NonFerrousMetals;%nan
Cement;%nan
OthMin;%nan
Buildings_constr;%nan
Work_constr;%nan
ChemicalPharma;%nan
Paper;%nan
Mining;%nan
Automobile;%nan
OthTranspEquip;%nan
Load_PipeTransp;%nan
PassTransp;%nan
NavalTransp;%nan
AirTransp;%nan
Agri_Forestry;%nan
Fishing;%nan
Food_industry;%nan
Property_business;%nan
Comp;%nan
