ConstrainedShare_C;HH1
Crude_oil;0.5
Natural_gas;0.5
Coking_coal;0.5
Bituminous_coal;0.5
Coke;0.5
Other_coal;0.5
Gasoline;0.5
LPG;0.5
Jetfuel;0.5
Fuel;0.5
Fuel_oil;0.5
Heavy_fuel_oil;0.5
Other_fuel_prod;0.5
Electricity;0.5
HeatGeoSol_Th;0.5
Steel_Iron;%nan
NonFerrousMetals;%nan
Cement;%nan
OthMin;%nan
Buildings_constr;%nan
Work_constr;%nan
ChemicalPharma;%nan
Paper;%nan
Mining;%nan
Automobile;%nan
OthTranspEquip;%nan
Load_PipeTransp;%nan
PassTransp;%nan
NavalTransp;%nan
AirTransp;%nan
Agri_Forestry;%nan
Fishing;%nan
Food_industry;%nan
Property_business;%nan
Comp;%nan
