2030;Oil;Natural_gas;Coal_lignite;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Food_industry;Construction;Compo
Oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coal_lignite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NonFerrousMetals;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_transport;35.8410225617981;627.313096130961;0;0.489606683110827;7.34410024666241;1.46882004933248;2.44803341555414;28.397187620428;1.95842673244331;6.85449356355158;1759.03713078355;174.111389946553;190.855938508943;190.855938508943;22.2771040815426;149.085235007247;1238.52357246183;14431.610324213
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0.112546768355192;1.07205282910827;0;0.00155251149550273;0.023287672432541;0.00465753448650819;0.00776255747751365;0.0900456667391584;0.00621004598201092;0.0217351609370382;3.00612364733626;0.29754935665046;0.55249059819922;0.55249059819922;0.0981044711160544;0.656545306699748;1.45555200037079;42.0864514247821
AirTransp;0.169060718821061;1.61037073344662;0;0.00233208570306803;0.0349812855460204;0.00699625710920409;0.0116604285153401;0.135260970777946;0.00932834281227212;0.0326491998429524;4.5156109954197;0.446960040303551;0.82991683402813;0.82991683402813;0.147366402863713;0.98622131147254;2.18643921154194;63.2196360187458
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Construction;71.926520457049;1532.19423182344;0;0.220780724744712;3.31171087117068;0.662342174234136;1.10390362372356;12.8052820351933;0.883122898978848;3.09093014642597;4296.39770311307;425.262072506097;273.096157347263;273.096157347263;58.7756685918205;393.344859037568;2258.68280575786;75914.0123291774
Compo;563.217789760702;4144.3150940472;0;8.54690050867893;128.203507630184;25.6407015260368;42.7345025433946;495.720229503378;34.1876020347157;119.656607121505;11620.9978351446;1150.25888324575;2825.33796436187;2825.33796436187;506.576008348524;3390.16251740936;4943.15999404005;160251.684095231
