2030;Oil;Natural_gas;Coal_lignite;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_transport;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Oil;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Natural_gas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Coal_lignite;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Elec_heating;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Steel_Iron;0,247028144;0,82794507;0,001434677;2,551422563;0,487360331;0,487360331;0,092491335;0,691943217;2,257281207;0,158760107;3,235670737;0,594521483;2,800512975;0,992286426;1,140359064;2,046867055;0,941558845;1,10530821;1,739471633;1,254528094;24,1716377;39,66410028
NonFerrousMetals;0,371070233;1,24368732;0,002155081;3,832587456;0,732082219;0,732082219;0,138934701;1,039393839;3,3907467;0,238479507;4,860422282;0,893053001;4,206755499;1,49055063;1,712976089;3,074675717;1,41435083;1,660324887;2,612925532;1,884473668;36,30912291;59,58093158
Cement;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthMin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ChemicalPharma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Paper;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Auto_transport;110,1383944;819,4703978;0,63958203;2525,306736;249,3185505;249,3185505;29,10098236;227,2885028;512,8500351;74,61790348;367,1674616;92,38407098;68,69584765;401,5153854;265,3081013;5239,835;2410,3241;2829,5109;512,8500351;1617,905653;54,48291365;18425,88452
OthEquip;84,69140133;451,9691116;0,52291641;1392,802773;196,7078172;196,7078172;27,30571225;205,6166984;426,5804671;66,59287835;218,1158044;86,15837488;84,75457244;404,119628;254,8778809;458,2537597;210,7967295;247,4570302;1078,822177;443,0751458;83,70172061;4374,423885
Electronics;135,0901834;244,0134345;0,973337447;751,9597674;212,7760931;212,7760931;15,59603491;131,2873766;595,3203457;67,90726377;301,055536;79,22514106;90,54301836;362,1720734;230,8846968;1025,399683;471,6838541;553,7158288;115,4423484;393,8621298;29,42648097;14937,33445
Food_industry;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OthManuf;250,3603745;1336,087894;1,545818656;4117,332081;581,4975547;581,4975547;80,7197453;607,8335323;1261,035286;196,8584496;644,782748;254,6969664;250,5471177;1194,637706;753,4569118;1354,666248;623,1464741;731,5197739;3189,158757;1309,796009;247,4347311;12931,4474
LandTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NavalTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AirTransp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AgriForest_Fish;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2056,65309;0;0;0
Construction;93,78381221;1532,194232;0,220780725;4721,659776;273,0961573;273,0961573;58,77566859;443,3276953;711,2979002;122,8692729;262,0571211;184,3039094;128,6287701;1453,313119;813,0490168;2838,952145;1305,917987;1533,034158;2893,18741;2258,682806;145462,8204;74788,03063
Property_business;29,38845743;98,49901336;0,170680671;303,5377759;57,98030992;57,98030992;11,00351407;82,31913761;268,5443513;18,88738092;384,9414492;70,72906354;333,1715773;118,0503845;135,6662981;243,5117892;112,015423;131,4963662;206,9415542;149,2487653;2875,652686;4718,760802
Compo;822,7742088;633,1020137;4,790820551;1950,987838;1439,707203;1439,707203;348,9423681;2577,395829;10170,64952;433,1426799;17812,99271;2905,665478;16346,21409;2196,886547;4592,296823;1485,646578;683,397426;802,2491523;694,0127031;1578,345675;587,3677251;114882,8924
