2030;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo
Crude_oil;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Liquid_fuels;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Gas_fuels;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Solid_fuels;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Elec_heating;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Steel_Iron;0;0;0;0;0.1991432628294676;0;0;0;0;0;0;0.10546296298933533;0.17462088593679503;0.10374710012707489;0.14312722484328977;0.22655194885624996;0;0;0;0.0;-0.30992452647044244;0;0.0
NonFerrousMetals;0;0;0;0;-0.031252696940557545;0;0;0;0;0;0;0.005340629955491449;0.0;-0.04276529472637869;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Cement;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
OthMin;0;0;0;0;0.0;0;0;0;0;0;0;3.2702487072709276;0.0;0.0;3.521909425508815;0.0;0;0;0;0.0;-0.1773339393122796;0;0.0
ChemicalPharma;0;0;0;0;0.0;0;0;0;0;0;0;-0.16191232364257568;0.0;0.0;-0.4826839036745957;0.0;0;0;0;0.2559924037129071;-0.23882882749080359;0;-0.005697986759719553
Paper;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;-0.18582971914997504;-0.05323542543222515;0;0;0;0.0;0.0;0;0.03222063837718103
Auto_indus;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
OthEquip;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Electronics;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Food_industry;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
OthManuf;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
LandTransp;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
NavalTransp;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
AirTransp;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
AgriForest_Fish;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Construction;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Property_business;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
Compo;0;0;0;0;0.0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0;0;0;0.0;0.0;0;0.0
