;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0.1;0.1;0.1
Solid_fuels;0;0;0
Elec_heating;0.11823;0.11419;0.10757
Steel_Iron;0.053;0.05285;0.05289
NonFerrousMetals;0.04546;0.04488;0.04435
Cement;0;0;0
OthMin;0;0;0
ChemicalPharma;0;0;0
Paper;0.07138;0.07151;0.0722
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0.04258;0.04337;0.04432
OthManuf;0;0;0
LandTransp;0.09189;0.0941;0.09033
NavalTransp;0.09863;0.10011;0.10166
AirTransp;0.11477;0.11563;0.11722
AgriForest_Fish;0.17732;0.17966;0.18122
Construction;0;0;0
Property_business;0.2481;0.23127;0.21851
Compo;0.10693;0.09632;0.09486
