2050;Crude_oil;Liquid_fuels;Gas_fuels;Solid_fuels;Elec_heating;Steel_Iron;NonFerrousMetals;Cement;OthMin;ChemicalPharma;Paper;Auto_indus;OthEquip;Electronics;Food_industry;OthManuf;LandTransp;NavalTransp;AirTransp;AgriForest_Fish;Construction;Property_business;Compo;C;G;I;X;Tot_uses;Y;M
Crude_oil;0.0;36716.58723;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;639.8543276;36508.10525
Liquid_fuels;100.1225891;1424.997652;0.0;0.0;1253.433012;1311.0299653239874;380.00123435085794;240.0270697423158;375.4751734746827;1854.7965911314373;24.937160713421907;327.98554265530095;52.60016173822691;134.75269580087163;26.00169752699095;101.13139063440639;6096.506453;3731.568;10016.49395;1772.081142;706.0380505;1.657536985;544.260287;8271.022702;0;0;0;0;45102.83481;3180.684194
Gas_fuels;22.53583432;23.35299559;813.0160112;0.0;2309.374814;660.2013746873881;140.08837607808454;1122.9646539994403;420.2880587084347;2146.6923885641377;881.7799031133263;284.01674109650617;164.25527350833707;79.88782553892855;2260.3477618113225;535.1091150999943;1269.087285;4.601414091;17.1915851;204.6629992;400.8788853;764.4993532;5796.580047;7828.402147;0;0;0;0;601.1906664;24945.33931
Solid_fuels;0.0;3610.256111;634.7409582;196.0283988;1648.813952;2828.676140354315;0.5274489219394918;317.88248877272906;601.3771480987463;2221.807803308641;15.728963491481949;24.375445071718996;6.820888555277715;3.6418750032224607;430.20002783445744;16.21104732789497;0.0;0.0;0.0;14.07696703;98.22464367;0.340488817;147.7512749;37.34805551;0;0;0;0;4125.528962;2895.965935
Elec_heating;20.07065243;281.6630253;60.92258388;0.0;810.2282087;460.27997972083887;1319.816101042709;761.3444005442286;565.0620180320179;4015.5159966668202;879.3167033421639;930.00329834191;542.1044243485269;345.94798707508005;3529.7527038034564;2053.5154885754623;2214.57248;17.44527212;0.0;586.0574565;837.7191586;429.6272135;15303.80867;23396.88196;0;0;0;0;50899.65958;0.0
Steel_Iron;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26690.49229;0.0
NonFerrousMetals;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;34212.93264;0.0
Cement;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;7024.009883;0.0
OthMin;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;32423.81686;0.0
ChemicalPharma;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;129130.2203;0.0
Paper;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;26479.0408;0.0
Auto_indus;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;206669.8321;0.0
OthEquip;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;82092.2901;0.0
Electronics;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;36400.43132;0.0
Food_industry;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;189970.7258;0.0
OthManuf;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0;0;299218.0292;0.0
