current_year;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0;0;0
Solid_fuels;0;0;0
Elec_heating;0;0;0
Steel_Iron;927.172991600038;926.028280294729;1188.56112406941
NonFerrousMetals;871.613499964344;1023.98251452252;1271.76213289969
Cement;1104.4776119403;1104.4776119403;1373.13432835821
OthMin;951.532992840533;988.586667291076;1062.66132503119
ChemicalPharma;996.520985033186;1048.60465813602;1318.93469753621
Paper;932.552082015631;1041.40078259078;1337.73526893885
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;0;0;0
NavalTransp;0;0;0
AirTransp;0;0;0
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;0;0;0
Compo;0;0;0
