current_year;2030;2040;2050
Crude_oil;0;0;0
Liquid_fuels;0;0;0
Gas_fuels;0;0;0
Solid_fuels;0;0;0
Elec_heating;0;0;0
Steel_Iron;1035.11415858821;1366.89182437707;1704.68487746938
NonFerrousMetals;1072.43241161194;1716.57940141011;2363.20563022235
Cement;895.522388059701;1955.22388059701;2179.10447761194
OthMin;998.173764517959;1559.61730992763;1936.96361043646
ChemicalPharma;1451.2303610349;1354.61582198906;1735.10425202963
Paper;1344.90222101343;1013.01670628528;1633.74391982193
Auto_indus;0;0;0
OthEquip;0;0;0
Electronics;0;0;0
Food_industry;0;0;0
OthManuf;0;0;0
LandTransp;0;0;0
NavalTransp;0;0;0
AirTransp;0;0;0
AgriForest_Fish;0;0;0
Construction;0;0;0
Property_business;0;0;0
Compo;0;0;0
